UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
140,1986,Male,"under $25,000",Single (no kids),High School Diploma,Democrat,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No,Yes,No,Giving,No Response,No Response,No Response,No Response,No Response,Cool headed,Odd hours,Yes,Happy,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,No,No Response,TMI,Yes,No,Talk,People,No Response,No Response,No Response,No Response,No Response,No Response,No,Mac,No Response,Risk-friendly,No Response,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,No,Yay people!,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,71
141,1971,Male,"$100,001 - $150,000",Married (w/kids),Master's Degree,Independent,No,No,No,Yes,No,No,Public,No,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,No,Yes,No,P.M.,Yes,Start,Yes,Yes,Me,No,No,Yes,Yes,Yes,Mysterious,No,No,Talk,Technology,Yes,Yes,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Rent,Optimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,101
142,1996,Male,"$50,000 - $74,999",Single (no kids),Current K-12,Independent,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,Yes,Start,No,Yes,Me,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,No,Supportive,Yes,PC,Yes,Cautious,No,Yes!,Yes,Space,No,In-person,No,No,No,No,Grrr people,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Own,Pessimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,82
152,1977,Female,"over $150,000",Married (w/kids),No Response,Republican,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No,No Response,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,No Response,No Response,No Response,No Response,Yes,End,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,No,No,No Response,No Response,No Response,No,Yes,No,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,No,No,Yes,No Response,Yes,No,No,Yes,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,74
162,1963,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican,No,Yes,No,Yes,No,No,Public,No,Yes,No,No,No,No,Yes,Science,Study first,Yes,No,No,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Cool headed,Standard hours,Yes,Happy,No,Yes,Yes,No,P.M.,Yes,Start,Yes,Yes,Me,Yes,Yes,Yes,Yes,No,Mysterious,Yes,Yes,Talk,Technology,Yes,No,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Space,No,In-person,Yes,Yes,Yes,No,Yay people!,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Own,Optimist,Dad,Yes,No,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
164,1994,Female,No Response,Single (no kids),No Response,Republican,No,No,No,No,Yes,Yes,Public,No Response,No,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,Yes,Giving,Yes,Yes,No Response,No,No,Hot headed,Odd hours,No,Happy,No,Yes,Yes,Yes,P.M.,No Response,End,Yes,No,No Response,Yes,No,Yes,No Response,No,Mysterious,No,No,Tunes,People,Yes,No Response,Yes,No Response,No,Supportive,No,PC,No,Cautious,No Response,Yes!,No Response,Space,No,In-person,No,No,Yes,No Response,No Response,No,No,Yes,No,No,Yes,No Response,Yes,No,No,No,No Response,Rent,Pessimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No Response,Yes,No,Yes,No,79
168,1969,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican,No Response,No Response,No Response,No Response,No,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,No,Yes,No,No,Giving,Yes,No,Idealist,No,Yes,Hot headed,Standard hours,No,Right,Yes,Yes,No,No,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,Yes,No,TMI,Yes,No,Tunes,People,Yes,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No Response,No Response,Yes,No,No,Yes,Yes,No,Own,Optimist,Dad,Yes,Yes,No,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,95
172,1964,Female,"over $150,000",Married (w/kids),Bachelor's Degree,Republican,No Response,No Response,No,No Response,No,Yes,Public,Yes,Yes,No,No,No,No,Yes,Science,Study first,Yes,No,No,No,Giving,Yes,No Response,No Response,No Response,No Response,Hot headed,No Response,No,Happy,No,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,Yes,Yes,Yes,Yes,TMI,Yes,No,Tunes,Technology,Yes,No,No Response,Yes,Yes,Demanding,No,Mac,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Own,Optimist,Mom,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,92
173,1997,Male,"over $150,000",No Response,Current K-12,Democrat,No,No Response,No,No,No Response,No,Public,No Response,No Response,No Response,No Response,No Response,Yes,Yes,Science,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Happy,No Response,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No Response,No Response,No Response,Tunes,No Response,No Response,No Response,No Response,No,Yes,Supportive,Yes,Mac,No Response,No Response,No Response,No Response,No Response,No Response,No Response,In-person,No,No Response,No Response,Yes,Yay people!,No Response,No,No Response,Yes,No Response,Yes,No Response,Yes,No Response,No Response,Yes,No,Own,No Response,No Response,No,No Response,No,No Response,Nope,Yes,No Response,Yes,No Response,No,No,No Response,No Response,No Response,No Response,35
176,1948,Male,"over $150,000",Married (w/kids),Master's Degree,Democrat,No,Yes,No,Yes,Yes,Yes,Public,No,No,No,No,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,Yes,Giving,Yes,No,Idealist,Yes,No,Hot headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,No,Start,Yes,Yes,Circumstances,Yes,Yes,No,Yes,Yes,TMI,No,Yes,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,No,Mac,Yes,Cautious,Yes,Yes!,No,Socialize,Yes,Online,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Own,Optimist,Dad,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,101
179,1982,Male,"$100,001 - $150,000",Single (w/kids),Bachelor's Degree,Independent,No,No Response,No,Yes,No,Yes,Private,Yes,Yes,No,No,Yes,Yes,Yes,Science,Study first,No,No,No,Yes,Giving,No,Yes,Idealist,No,No,Cool headed,Odd hours,No,Right,No,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,Yes,No,No,Yes,Yes,Mysterious,Yes,No Response,No Response,No Response,No Response,Yes,Yes,No,No,Supportive,No,Mac,No Response,No Response,Yes,No Response,Yes,No Response,No Response,No Response,No Response,Yes,Yes,No Response,No Response,No Response,No,Yes,No Response,No Response,Yes,No Response,No,No,No Response,No Response,No Response,No Response,Optimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,No,Yes,No,Yes,Yes,No,No,79
181,1966,Male,"$75,000 - $100,000",Married (w/kids),No Response,Libertarian,No,No,No,No,No,Yes,Public,Yes,Yes,No,Yes,No,No,Yes,Science,Study first,No,Yes,No,Yes,Giving,Yes,No,Idealist,No,No,Hot headed,Standard hours,Yes,Right,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Me,No,Yes,Yes,Yes,No,Mysterious,No,No,Talk,Technology,Yes,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,No,Grrr people,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
182,1977,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,Libertarian,No,Yes,No,No,No,Yes,Public,Yes,Yes,No,Yes,Yes,No,Yes,Science,Try first,No,No,No,Yes,Giving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,No,Yes,No,A.M.,Yes,Start,Yes,No,Me,Yes,Yes,No,No,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,Yes,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,Online,No,No,Yes,Yes,Grrr people,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Rent,Optimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,101
183,1997,Male,"$100,001 - $150,000",Single (no kids),Current K-12,Independent,No,No,No,No,No,No,Public,No,No,No,No,No,No,Yes,Science,Study first,No,Yes,No,No,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,Yes,Right,No,Yes,No,Yes,P.M.,Yes,Start,No,No,Me,No,No,Yes,Yes,No,Mysterious,No,No,Tunes,People,Yes,No,Yes,No,Yes,Supportive,No,PC,No,Risk-friendly,No,Umm...,No,Space,Yes,In-person,No,No,No,Yes,Grrr people,No,No,No,No,No,No,No,Yes,No,No,No,No,Own,Pessimist,Mom,No,No,No,No,Nope,No,No,No,No,No,Yes,Yes,No,Yes,Yes,101
186,1985,Female,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Republican,Yes,No,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Right,Yes,Yes,Yes,Yes,A.M.,Yes,End,Yes,Yes,Me,No,No,No,No,Yes,TMI,No,Yes,Tunes,Technology,No Response,No Response,No Response,No,Yes,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Socialize,No,Online,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,No,No Response,No Response,No Response,No,No,Yes,Yes,No,Own,Optimist,Dad,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,95
189,1992,Female,No Response,Single (no kids),Current Undergraduate,Independent,No,Yes,No,No,Yes,Yes,Private,No Response,Yes,Yes,Yes,No,No Response,Yes,No Response,No Response,No Response,No,No,No,Receiving,Yes,No,Pragmatist,No,Yes,No Response,No Response,No,Happy,No Response,Yes,No,Yes,P.M.,Yes,Start,Yes,No,No Response,No Response,No,No,No,No,TMI,No,No,Tunes,No Response,Yes,No Response,No Response,No,Yes,Supportive,No Response,PC,No,No Response,Yes,Yes!,No,Socialize,Yes,In-person,No,Yes,No Response,Yes,Yay people!,No,No,No,No,No Response,No Response,No,No Response,No Response,No,No,No Response,No Response,Optimist,No Response,No Response,Yes,Yes,No Response,No Response,No,No Response,No,No,Yes,No,Yes,Yes,Yes,No Response,73
192,1995,Male,"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat,No Response,No,No,No,Yes,Yes,Public,No,Yes,No,No,No,No,Yes,Science,Study first,No,No,No,No,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,No Response,Yes,Yes,No,Yes,P.M.,Yes,Start,No Response,No,No Response,No Response,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,Yes,Supportive,No,PC,No Response,Cautious,Yes,No Response,No,No Response,No,Online,No Response,No,Yes,Yes,Grrr people,No,No,No,No,No,Yes,Yes,No,No,No Response,No,No,Rent,Optimist,Dad,No,Yes,No Response,No Response,Check!,No,No,No,No Response,No Response,No,Yes,No Response,No,Yes,86
193,1985,Male,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Republican,No,No,No,Yes,Yes,No,Private,No,No,No,No,Yes,No,Yes,Art,Try first,No,No,Yes,No,Giving,No,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Me,No,Yes,Yes,Yes,Yes,Mysterious,No,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Nope,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,101
194,1951,Female,"$75,000 - $100,000",Married (no kids),Bachelor's Degree,Republican,No Response,Yes,No,No,No,Yes,Public,No,Yes,No,No,No,No,Yes,Art,Try first,No,Yes,No,Yes,Giving,Yes,No,Idealist,No,No,Hot headed,Odd hours,No,Happy,Yes,Yes,No Response,No Response,A.M.,Yes,End,Yes,No,Me,No,Yes,Yes,No,Yes,TMI,Yes,Yes,Talk,Technology,No,Yes,No,Yes,No,Supportive,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Own,Optimist,Dad,No,Yes,Yes,No,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,98
196,1964,Female,"over $150,000",Single (no kids),Master's Degree,Republican,No Response,Yes,No Response,No Response,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Try first,Yes,No,No,No,Giving,Yes,Yes,Idealist,Yes,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,End,Yes,No,Circumstances,No,No,Yes,Yes,Yes,TMI,No,No,Talk,Technology,No,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Own,Optimist,Mom,No,Yes,No,Yes,Check!,Yes,No,No,Yes,No Response,No,Yes,No,No,Yes,97
197,1992,Male,"under $25,000",Single (no kids),Bachelor's Degree,Republican,No Response,No,No,No,Yes,No,Public,No,Yes,Yes,No,Yes,Yes,Yes,Art,Try first,No,Yes,Yes,Yes,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,Yes,Right,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Me,Yes,No,Yes,Yes,No,TMI,No,No,Tunes,People,Yes,No,Yes,Yes,Yes,Supportive,Yes,Mac,Yes,Risk-friendly,No,Yes!,No,Socialize,Yes,In-person,No,No,Yes,Yes,Yay people!,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Own,Optimist,Dad,Yes,No,Yes,Yes,Nope,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,100
198,1994,Male,"over $150,000",Single (no kids),Current Undergraduate,Independent,No,No,No,Yes,No,Yes,Public,No,No,No,No,Yes,Yes,Yes,Science,Study first,No,Yes,No,Yes,Receiving,No,No,Pragmatist,No,No,Cool headed,Odd hours,Yes,Right,No,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Circumstances,No,Yes,No,No,No,TMI,No,Yes,Tunes,Technology,No,No,No,No,Yes,Supportive,No,PC,No,Risk-friendly,Yes,Yes!,No,Socialize,Yes,Online,No,No,Yes,No,Yay people!,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Own,Pessimist,Mom,No,No,Yes,Yes,Nope,No,No,No,No,No,No,Yes,No,No,No,101
201,1994,Male,"over $150,000",Single (no kids),Current Undergraduate,Independent,No,Yes,No,No,No,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Study first,No,Yes,No,No,Receiving,No,Yes,Pragmatist,No,No,Cool headed,Odd hours,No,Right,No,Yes,No,No,P.M.,Yes,End,No,No,Circumstances,No,No,No,Yes,No,Mysterious,Yes,No,Tunes,Technology,No,Yes,Yes,No,Yes,Demanding,No,Mac,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,No,No,No,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,Yes,No,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,101
204,1994,Male,No Response,Single (no kids),No Response,Democrat,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No,No Response,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Cool headed,Standard hours,No,Happy,Yes,Yes,No Response,No Response,No Response,Yes,End,Yes,No,Me,No Response,No Response,No Response,No Response,No,TMI,No,No,Tunes,Technology,No,No,Yes,Yes,No,Supportive,No,Mac,No Response,No Response,No Response,No Response,No Response,No Response,No Response,In-person,No,No Response,No Response,No Response,No Response,No,No,Yes,No,No,Yes,Yes,No Response,No,No,No,No,Rent,Optimist,Dad,No,No,No,Yes,No Response,No Response,No Response,No Response,No Response,Yes,No,No Response,No Response,No Response,Yes,51
205,1988,Male,"under $25,000",Single (no kids),Associate's Degree,Independent,No Response,No Response,No,No,No,Yes,Public,No,Yes,No Response,No,No,Yes,Yes,Science,No Response,Yes,No Response,No,No Response,Giving,No,No,No Response,No,No,Cool headed,No Response,No,Right,Yes,Yes,No Response,No,P.M.,Yes,End,Yes,No,Me,No Response,Yes,No,Yes,No,Mysterious,No,No Response,No Response,No Response,No,No,Yes,No Response,No Response,Supportive,No,Mac,Yes,Cautious,Yes,Umm...,No,Space,No Response,Online,No,No Response,Yes,Yes,Grrr people,Yes,No Response,No Response,No Response,No,No,No Response,No Response,No,No,No,No,No Response,Pessimist,Dad,No,No Response,No,Yes,Nope,No Response,No Response,No Response,No Response,No,No,Yes,No,No,Yes,73
210,NA,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Independent,Yes,Yes,No,Yes,No,No,Public,No,Yes,No,No,No,Yes,Yes,Science,Study first,Yes,Yes,Yes,Yes,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Right,Yes,Yes,Yes,Yes,A.M.,Yes,End,No,Yes,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,Yes,Online,Yes,No,Yes,Yes,Grrr people,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Rent,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,101
213,1995,Male,"$100,001 - $150,000",Domestic Partners (no kids),Current K-12,Independent,No Response,No,Yes,No,Yes,No,Private,No,No,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No Response,No Response,No Response,No,No,No Response,No,End,No,No,Circumstances,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,Yes,Yes,No Response,Demanding,No,No Response,No Response,Risk-friendly,Yes,Umm...,No,Socialize,Yes,In-person,No,No,Yes,Yes,Grrr people,No,No,Yes,No,No,Yes,No,No,No,No Response,No Response,No Response,No Response,Optimist,Dad,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No,No Response,No Response,No Response,No Response,47
216,1997,Female,"under $25,000",Single (no kids),Current K-12,Other,No,Yes,No,Yes,No,No,Public,No,No,Yes,Yes,Yes,Yes,Yes,Science,Study first,No,No,Yes,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,No,A.M.,No,Start,Yes,No,Circumstances,No,Yes,Yes,No,No,TMI,No,Yes,Tunes,People,No,Yes,Yes,Yes,No,Supportive,No,Mac,Yes,Risk-friendly,No,No Response,Yes,No Response,Yes,In-person,Yes,No,Yes,Yes,Yay people!,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Own,Optimist,Mom,No,No,Yes,No,Check!,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,99
221,1991,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes,No,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,Yes,No,P.M.,Yes,End,Yes,No,Circumstances,No,No,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,Yes,Yes,Yes,No,Grrr people,No,No,No,No,No,No,No,Yes,No,No,No,No,Own,Pessimist,Dad,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,83
234,1988,Male,"$25,001 - $50,000",Single (no kids),Associate's Degree,Democrat,No,Yes,No,No,No,No,Public,No,No,No,Yes,No,No,Yes,Art,Try first,No,No,No,Yes,Giving,Yes,Yes,Idealist,No,Yes,Hot headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,No,End,No,No,Circumstances,No,Yes,No,Yes,Yes,TMI,Yes,Yes,Talk,Technology,No,Yes,Yes,No,No Response,No Response,No,PC,Yes,No Response,No,No Response,No,Socialize,No,Online,No,No,Yes,No,Yay people!,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Own,Pessimist,Mom,No,Yes,Yes,No,Check!,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,97
237,1992,Female,"over $150,000",Single (no kids),High School Diploma,Independent,Yes,No,No,No,No,No,Public,No,Yes,No,Yes,No,No,Yes,Art,Study first,No,No,Yes,No,Receiving,Yes,Yes,No Response,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,P.M.,No,End,Yes,No,Circumstances,Yes,No,No,Yes,No,TMI,No,Yes,Tunes,People,No,No Response,No Response,No,No,Supportive,No,PC,No,Cautious,No,Umm...,Yes,Space,Yes,Online,No,No,Yes,No,Grrr people,No,No,Yes,Yes,Yes,No Response,Yes,No,No,No,No,No,Own,Optimist,Mom,No,Yes,No Response,Yes,Nope,No,No,No,No,No Response,Yes,Only-child,No,No,No,95
241,1995,Female,"$100,001 - $150,000",Single (no kids),Current Undergraduate,Independent,No,Yes,No,No,No,Yes,Public,No,Yes,Yes,Yes,Yes,No,Yes,Science,Study first,No,Yes,Yes,No,Giving,No,Yes,Idealist,Yes,Yes,Cool headed,Odd hours,No,Happy,No,No,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Demanding,No,PC,No,Risk-friendly,Yes,Yes!,No,Socialize,Yes,In-person,No,No,No,No,Grrr people,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Own,Pessimist,Dad,Yes,No,No,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,No,101
246,1997,Male,"over $150,000",Single (no kids),Current K-12,Democrat,No,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,No,Yes,Science,Try first,Yes,Yes,Yes,No,Receiving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Right,No,Yes,No,Yes,P.M.,Yes,Start,No,No,Circumstances,Yes,Yes,Yes,No,No,Mysterious,No,No,Tunes,People,No,No,Yes,No,Yes,Demanding,No,Mac,No,Cautious,Yes,Umm...,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Own,Pessimist,Mom,No,Yes,No,No,Check!,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,101
